Test,Val,MSE,MSE_SE,SCC,PCC
0,1,194.7206603880507,9.226709980057763,0.7199626244818654,0.7440749899542434
0,2,193.73838313947488,9.128026865646433,0.7262928122490623,0.7441469413274616
0,3,196.78505103540746,9.235502318915119,0.7158954949599263,0.7385642242624566
0,4,196.52288849336853,9.114733027917001,0.7174637225121,0.7404935448317361
1,0,226.15111062310538,10.335746213171236,0.7359300746783042,0.717799224324109
1,2,224.81603006951858,10.492144941663682,0.7360129960091828,0.7188795533998897
1,3,226.4787668904083,10.62488802518459,0.7368355293857726,0.7157093421861963
1,4,223.54451598253127,10.449569106718288,0.7412176134095023,0.7207701781272301
2,0,276.5732746969323,18.56924872664621,0.7371245940932745,0.7095021468084916
2,1,280.1858782170557,18.44665801379236,0.7305729362427676,0.7048603977050542
2,3,274.406972238734,18.21337001020072,0.739562453457132,0.7117917164027666
2,4,277.60254040663705,18.500236464226994,0.7356635212137301,0.7079896518365941
3,0,349.86278655055133,17.215970689427333,0.6907763517604214,0.6741350196598745
3,1,350.4389051542788,16.9339061363778,0.6898776885923238,0.6737332793514379
3,2,348.4542551281079,17.232494166755703,0.6925958914230645,0.6764075465989301
3,4,342.8209222430972,16.56864576793987,0.696048671722312,0.6849195337416266
4,0,203.09314757205797,11.178936826996077,0.7545713419787691,0.787359156203832
4,1,207.70424147762907,11.369514087685841,0.7475431673362265,0.7813546849088417
4,2,203.69294104308761,10.952904137482369,0.7494507379417747,0.7863073694232354
4,3,207.3547335655214,11.036020904303562,0.7474167456099078,0.782365047180528
